GO.ID	Description	p.Val	FDR	Phenotype	Genes
SIGNALING PATHWAYS IN GLIOBLASTOMA%WIKIPATHWAYS_20190610%WP2261%HOMO SAPIENS	http://www.wikipathways.org/instance/WP2261_r98349	3.199484550024705e-28	3.199484550024705e-28	+1	TP53,PIK3CA,PTEN,KRAS,EGFR,NF1,PIK3R1,CDKN2A,RB1,NRAS,MAP2K4,AKT1,BRAF,PIK3CG,ATM,CDKN1B,BRCA1,PDGFRA,EP300,FGFR2,CCND1,BRCA2,CDKN1A,CDKN2C
PATHWAYS AFFECTED IN ADENOID CYSTIC CARCINOMA%WIKIPATHWAYS_20190610%WP3651%HOMO SAPIENS	http://www.wikipathways.org/instance/WP3651_r89271	5.8955155117285645e-22	5.8955155117285645e-22	+1	TP53,PIK3CA,PTEN,ARID1A,NOTCH1,FBXW7,CEBPA,KDM6A,AKT1,ATM,ARID5B,ATRX,BRCA1,CHEK2,SETD2,EP300,SMC1A,NSD1,NCOR1
INTEGRATED BREAST CANCER PATHWAY%WIKIPATHWAYS_20190610%WP1984%HOMO SAPIENS	http://www.wikipathways.org/instance/WP1984_r103002	2.876549147287776e-20	2.876549147287776e-20	+1	TP53,PTEN,KRAS,EGFR,NF1,RB1,CTNNB1,CDH1,STK11,AKT1,BRAF,AR,ATM,MTOR,BRCA1,CHEK2,EP300,CCND1,SMAD4,BRCA2,TGFBR2,ATR,SMAD2
ENDOMETRIAL CANCER%WIKIPATHWAYS_20190610%WP4155%HOMO SAPIENS	http://www.wikipathways.org/instance/WP4155_r103782	3.914669079982795e-19	3.914669079982795e-19	+1	TP53,PIK3CA,PTEN,APC,KRAS,EGFR,PIK3R1,CTNNB1,CDH1,NRAS,AKT1,BRAF,FGFR2,CCND1,FGFR3,CDKN1A,AXIN2
BREAST CANCER PATHWAY%WIKIPATHWAYS_20190610%WP4262%HOMO SAPIENS	http://www.wikipathways.org/instance/WP4262_r103781	7.319756515351421e-19	7.319756515351421e-19	+1	TP53,PIK3CA,PTEN,APC,KRAS,EGFR,PIK3R1,RB1,NOTCH1,CTNNB1,NRAS,AKT1,BRAF,ATM,MTOR,BRCA1,KIT,CCND1,BRCA2,CDKN1A,ATR,AXIN2
P53 PATHWAY FEEDBACK LOOPS 2%PANTHER PATHWAY%P04398	p53 pathway feedback loops 2	4.0584012212404e-15	4.0584012212404e-15	+1	TP53,PIK3CA,PTEN,KRAS,PIK3R1,RB1,CTNNB1,NRAS,AKT1,PIK3CG,ATM,CDKN1A,ATR
PANCREATIC ADENOCARCINOMA PATHWAY%WIKIPATHWAYS_20190610%WP4263%HOMO SAPIENS	http://www.wikipathways.org/instance/WP4263_r103768	4.0584012212404e-15	4.0584012212404e-15	+1	TP53,PIK3CA,KRAS,EGFR,PIK3R1,CDKN2A,RB1,AKT1,BRAF,MTOR,CCND1,SMAD4,BRCA2,TGFBR2,CDKN1A,SMAD2
DNA DAMAGE RESPONSE (ONLY ATM DEPENDENT)%WIKIPATHWAYS_20190610%WP710%HOMO SAPIENS	http://www.wikipathways.org/instance/WP710_r104309	1.0391931742971003e-14	1.0391931742971003e-14	+1	TP53,PIK3CA,PTEN,APC,KRAS,PIK3R1,CDKN2A,CTNNB1,MAP3K1,NRAS,AKT1,PIK3CG,ATM,CDKN1B,CCND1,SMAD4,CDKN1A
TGF_BETA_RECEPTOR%NETPATH%TGF_BETA_RECEPTOR	TGF_beta_Receptor	1.4302860584657525e-14	1.4302860584657525e-14	+1	TP53,PIK3CA,PIK3R1,RB1,CTNNB1,CTCF,RUNX1,STK11,AKT1,AR,SOX9,MTOR,BRCA1,EP300,CCND1,SMAD4,TGFBR2,CDKN1A,PPP2R1A,SMAD2,AXIN2
CELL CYCLE%WIKIPATHWAYS_20190610%WP179%HOMO SAPIENS	http://www.wikipathways.org/instance/WP179_r103430	2.7287156334397627e-14	2.7287156334397627e-14	+1	TP53,CDKN2A,RB1,STAG2,ATM,CDKN1B,CHEK2,EP300,CCND1,SMAD4,CDKN1A,ATR,SMC1A,SMC3,SMAD2,RAD21,CDKN2C
