GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0048732	gland development	5.63111903714269e-13	5.63111903714269e-13	+1	NF1,GATA3,FBXW7,ARHGAP35,TBX3,CEBPA,AKT1,AR,SOX9,WT1,HGF,ERBB4,ARID5B,ELF3,FGFR2,BRCA2
GO:0046777	protein autophosphorylation	8.928649870055336e-12	8.928649870055336e-12	+1	EGFR,FLT3,STK11,AKT1,ATM,ERBB4,MTOR,LRRK2,CHEK2,KIT,PDGFRA,FGFR2,FGFR3,TAF1,ATR,CDK12,ACVR1B
GO:0048762	mesenchymal cell differentiation	9.884915455448333e-12	9.884915455448333e-12	+1	PTEN,NOTCH1,CTNNB1,EPHA3,SOX9,HGF,ERBB4,MTOR,FOXA1,FGFR2,SMAD4,FOXA2,TGFBR2,SMAD2,AXIN2,EZH2
GO:0060485	mesenchyme development	1.0352156654534308e-11	1.0352156654534308e-11	+1	PTEN,NOTCH1,CTNNB1,EPHA3,SOX9,WT1,HGF,ERBB4,MTOR,FOXA1,FGFR2,SMAD4,FOXA2,TGFBR2,SMAD2,AXIN2,EZH2
GO:0001837	epithelial to mesenchymal transition	1.1247384619781838e-11	1.1247384619781838e-11	+1	PTEN,NOTCH1,CTNNB1,EPHA3,SOX9,HGF,MTOR,FOXA1,SMAD4,FOXA2,TGFBR2,SMAD2,AXIN2,EZH2
GO:0010717	regulation of epithelial to mesenchymal transition	2.81463102687846e-11	2.81463102687846e-11	+1	PTEN,NOTCH1,CTNNB1,EPHA3,MTOR,FOXA1,SMAD4,FOXA2,TGFBR2,SMAD2,AXIN2,EZH2
GO:0007062	sister chromatid cohesion	8.785743920386444e-11	8.785743920386444e-11	+1	RB1,FBXW7,CTNNB1,CTCF,STAG2,ATRX,SMC1A,SMC3,AXIN2,RAD21
GO:0051348	negative regulation of transferase activity	2.858253822662523e-10	2.858253822662523e-10	+1	TP53,APC,NF1,CDKN2A,RB1,NPM1,CRIPAK,CEBPA,AKT1,CDKN1B,FOXA2,CDKN1A,PPP2R1A,EIF4A2,MAPK8IP1,RPL5
GO:0014065	phosphatidylinositol 3-kinase signaling	4.734567597224224e-10	4.734567597224224e-10	+1	PIK3CA,PTEN,EGFR,NF1,PIK3R1,GATA3,FLT3,AKT1,PIK3CG,SOX9,HGF,KIT,PDGFRA
GO:0048015	phosphatidylinositol-mediated signaling	2.56472460019257e-9	2.56472460019257e-9	+1	PIK3CA,PTEN,EGFR,NF1,PIK3R1,GATA3,FLT3,AKT1,PIK3CG,SOX9,HGF,KIT,PDGFRA
GO:0048017	inositol lipid-mediated signaling	2.779024437931432e-9	2.779024437931432e-9	+1	PIK3CA,PTEN,EGFR,NF1,PIK3R1,GATA3,FLT3,AKT1,PIK3CG,SOX9,HGF,KIT,PDGFRA
GO:0007050	cell cycle arrest	2.9615704196990605e-9	2.9615704196990605e-9	+1	TP53,APC,CDKN2A,RB1,NOTCH1,STK11,ATM,CDKN1B,MTOR,BRCA1,CHEK2,EP300,CCND1,CDKN1A,CDKN2C
GO:0034968	histone lysine methylation	3.1953973094590017e-9	3.1953973094590017e-9	+1	CTNNB1,KDM6A,TET2,ATRX,BRCA1,HIST1H1C,SETD2,SMAD4,NSD1,EZH2
GO:0009411	response to UV	3.1953973094590017e-9	3.1953973094590017e-9	+1	TP53,EGFR,NPM1,STK11,CRIPAK,AKT1,EP300,CCND1,CDKN1A,TAF1,ATR,ERCC2
GO:0045926	negative regulation of growth	3.4346564099389447e-9	3.4346564099389447e-9	+1	TP53,PTEN,CDKN2A,NOTCH1,STK11,CDKN1B,WT1,SMAD4,FGFR3,SOX17,CDKN1A,PPP2R1A,ACVR1B,CDKN2C
GO:0051896	regulation of protein kinase B signaling	1.8399561736260478e-8	1.8399561736260478e-8	+1	PIK3CA,PTEN,EGFR,PIK3R1,GATA3,AKT1,PIK3CG,HGF,ERBB4,KIT,PDGFRA,FGFR2,FGFR3,PTPN11
GO:0018022	peptidyl-lysine methylation	1.8610637991826444e-8	1.8610637991826444e-8	+1	CTNNB1,KDM6A,TET2,ATRX,BRCA1,HIST1H1C,SETD2,SMAD4,NSD1,EZH2
GO:0010718	positive regulation of epithelial to mesenchymal transition	2.840214131310384e-8	2.840214131310384e-8	+1	NOTCH1,CTNNB1,MTOR,SMAD4,TGFBR2,SMAD2,AXIN2,EZH2
GO:0016571	histone methylation	3.9385552591392834e-8	3.9385552591392834e-8	+1	CTNNB1,KDM6A,TET2,ATRX,BRCA1,HIST1H1C,SETD2,SMAD4,NSD1,EZH2
GO:0043491	protein kinase B signaling	4.243248910058965e-8	4.243248910058965e-8	+1	PIK3CA,PTEN,EGFR,PIK3R1,GATA3,AKT1,PIK3CG,HGF,ERBB4,KIT,PDGFRA,FGFR2,FGFR3,PTPN11
GO:0033673	negative regulation of kinase activity	5.763672801802703e-8	5.763672801802703e-8	+1	APC,NF1,CDKN2A,RB1,NPM1,CRIPAK,CEBPA,AKT1,CDKN1B,FOXA2,CDKN1A,PPP2R1A,MAPK8IP1
GO:0030518	intracellular steroid hormone receptor signaling pathway	6.289801020031679e-8	6.289801020031679e-8	+1	ARID1A,RB1,CTNNB1,RUNX1,CRIPAK,AR,BRCA1,FOXA1,EP300,CBFB,NCOR1
GO:0104004	cellular response to environmental stimulus	6.386978308575242e-8	6.386978308575242e-8	+1	TP53,PTEN,GATA3,MAP3K1,NPM1,MAP2K4,STK11,SOX9,ATM,TLR4,EP300,CDKN1A,TAF1,ATR
GO:0071214	cellular response to abiotic stimulus	6.386978308575242e-8	6.386978308575242e-8	+1	TP53,PTEN,GATA3,MAP3K1,NPM1,MAP2K4,STK11,SOX9,ATM,TLR4,EP300,CDKN1A,TAF1,ATR
GO:0051897	positive regulation of protein kinase B signaling	6.840273570813867e-8	6.840273570813867e-8	+1	PIK3CA,EGFR,PIK3R1,GATA3,PIK3CG,HGF,ERBB4,KIT,PDGFRA,FGFR2,FGFR3,PTPN11
GO:0072331	signal transduction by p53 class mediator	7.190994729372051e-8	7.190994729372051e-8	+1	TP53,STK11,AKT1,ATM,CDKN1B,ATRX,BRCA1,CHEK2,EP300,CDKN1A,TAF1,ATR,RPL5
GO:0043401	steroid hormone mediated signaling pathway	8.504803302368018e-8	8.504803302368018e-8	+1	ARID1A,RB1,CTNNB1,RUNX1,CRIPAK,AR,BRCA1,FOXA1,EP300,CBFB,NCOR1
GO:0030879	mammary gland development	8.728182668275193e-8	8.728182668275193e-8	+1	GATA3,ARHGAP35,TBX3,AKT1,ERBB4,ELF3,FGFR2,BRCA2
GO:1902806	regulation of cell cycle G1/S phase transition	9.377491086892238e-8	9.377491086892238e-8	+1	TP53,PTEN,RB1,FBXW7,ATM,CDKN1B,CHEK2,EP300,CCND1,CDKN1A,TAF1,EZH2
GO:0071824	protein-DNA complex subunit organization	9.393585630900472e-8	9.393585630900472e-8	+1	TP53,ARID1A,PBRM1,RB1,CTCF,NPM1,SOX9,ATRX,HIST1H1C,SETD2,TAF1,HIST1H2BD,H3F3C,ERCC2
GO:0050821	protein stabilization	9.888856176384178e-8	9.888856176384178e-8	+1	PTEN,VHL,PIK3R1,CDKN2A,FBXW7,CHEK2,EP300,USP9X,SOX17,CDKN1A,TAF1,RPL5
GO:0070372	regulation of ERK1 and ERK2 cascade	1.0862644544441269e-7	1.0862644544441269e-7	+1	PTEN,EGFR,NOTCH1,FBXW7,FLT3,BRAF,ERBB4,TLR4,KIT,PDGFRA,FGFR2,SMAD4,FGFR3,PTPN11
GO:0000819	sister chromatid segregation	1.276867727265892e-7	1.276867727265892e-7	+1	APC,RB1,FBXW7,CTNNB1,CTCF,STAG2,ATM,ATRX,SMC1A,SMC3,AXIN2,RAD21
GO:0007063	regulation of sister chromatid cohesion	1.5542329450623155e-7	1.5542329450623155e-7	+1	RB1,CTNNB1,CTCF,ATRX,AXIN2,RAD21
GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	1.6686064972025456e-7	1.6686064972025456e-7	+1	PIK3CA,PTEN,EGFR,PIK3R1,FLT3,PIK3CG,SOX9,HGF,KIT,PDGFRA
GO:0030308	negative regulation of cell growth	2.0023668025567075e-7	2.0023668025567075e-7	+1	TP53,CDKN2A,STK11,CDKN1B,WT1,SMAD4,SOX17,CDKN1A,PPP2R1A,ACVR1B,CDKN2C
GO:0006469	negative regulation of protein kinase activity	2.0623274439160045e-7	2.0623274439160045e-7	+1	APC,NF1,CDKN2A,RB1,NPM1,CRIPAK,CEBPA,AKT1,CDKN1B,CDKN1A,PPP2R1A,MAPK8IP1
GO:0009416	response to light stimulus	2.1967358121296833e-7	2.1967358121296833e-7	+1	TP53,EGFR,NF1,NPM1,STK11,CRIPAK,AKT1,EP300,CCND1,CDKN1A,TAF1,ATR,ERCC2
GO:0006260	DNA replication	2.4421906228040553e-7	2.4421906228040553e-7	+1	EGFR,FBXW7,STAG2,ATM,ATRX,BRCA1,POLQ,CHEK2,BRCA2,PPP2R1A,ATR,SMC1A,SMC3
GO:0030522	intracellular receptor signaling pathway	2.9863758939671447e-7	2.9863758939671447e-7	+1	ARID1A,RB1,CTNNB1,RUNX1,CRIPAK,AR,BRCA1,FOXA1,EP300,ASXL1,CBFB,NCOR1,EZH2
GO:0090399	replicative senescence	3.016969728757146e-7	3.016969728757146e-7	+1	TP53,CDKN2A,ATM,CHEK2,ATR
GO:0006275	regulation of DNA replication	3.2828903510120453e-7	3.2828903510120453e-7	+1	EGFR,FBXW7,STAG2,ATRX,CHEK2,PPP2R1A,ATR,SMC1A,SMC3
